current_process	branch_scope	historical_script	historical_cpus	historical_memory	historical_time	historical_gpu	current_baseline_cpus	current_baseline_memory	current_baseline_time	optional_gpu_mode	source	notes
DREP_SPECIES_95	MEGAHIT	Metagenomics/Binning/MEGAHIT/Refinement/Quality_control/Dereplication_filtering/dRep/drep.sh	24	100G	not recorded	none requested	24	100 GB	14d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/MEGAHIT/Refinement/Quality_control/Dereplication_filtering/dRep/drep.sh #SBATCH; conf/resources.config	Current explicit 95% stage inherits the historical allocation; current time is a policy fallback.
DREP_ANI_99	metaSPAdes	Metagenomics/Binning/metaSPAdes/Refinement/Quality_control/Dereplication_filtering/dRep/drep.sh	24	50G	not recorded	none requested	24	50 GB	14d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/metaSPAdes/Refinement/Quality_control/Dereplication_filtering/dRep/drep.sh #SBATCH; branch-qualified conf/resources.config	Current explicit 99% stage preserves the historical branch-specific memory; current time is a policy fallback.
DREP_SPECIES_95	metaSPAdes	Metagenomics/Binning/metaSPAdes/Refinement/Quality_control/Dereplication_filtering/dRep/drep.sh	24	50G	not recorded	none requested	24	50 GB	14d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/metaSPAdes/Refinement/Quality_control/Dereplication_filtering/dRep/drep.sh #SBATCH; branch-qualified conf/resources.config	Current explicit 95% stage preserves the historical branch-specific memory; current time is a policy fallback.
COMBINE_MAG_CATALOGS	final catalog	none	not applicable	not applicable	not applicable	not applicable	2	8 GB	4h	no	conf/resources.config	Repository-local helper; no historical SLURM process; policy fallback.
DREP_FINAL_99	final catalog	Metagenomics/QC_MAGs/Final_MAGs/dRep/drep.sh	24	100G	not recorded	none requested	24	100 GB	14d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/QC_MAGs/Final_MAGs/dRep/drep.sh #SBATCH; conf/resources.config	Current explicit final 99% stage inherits the historical allocation; current time is a policy fallback.
DREP_FINAL_SPECIES_95	final catalog	Metagenomics/QC_MAGs/Final_MAGs/dRep/drep.sh	24	100G	not recorded	none requested	24	100 GB	14d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/QC_MAGs/Final_MAGs/dRep/drep.sh #SBATCH; conf/resources.config	Current explicit final 95% stage inherits the historical allocation; current time is a policy fallback.
FINALIZE_MAG_CATALOG	final catalog	none	not applicable	not applicable	not applicable	not applicable	2	8 GB	4h	no	conf/resources.config	Repository-local helper; no historical SLURM process; policy fallback.
CHECKM2_FINAL	final catalog	Metagenomics/QC_MAGs/Final_MAGs/CheckM2/checkm2.sh	24	25G	not recorded	none requested	24	25 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/QC_MAGs/Final_MAGs/CheckM2/checkm2.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
GUNC_FINAL	final catalog	Metagenomics/QC_MAGs/Final_MAGs/GUNC/gunc.sh	24	25G	not recorded	none requested	24	25 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/QC_MAGs/Final_MAGs/GUNC/gunc.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
GTDBTK_CLASSIFY	global taxonomy	Metagenomics/Taxonomy/GTDB/taxonomy.sh	24	100G	not recorded	none requested	24	100 GB	14d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Taxonomy/GTDB/taxonomy.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
PHYLOPHLAN	global phylogeny	Metagenomics/Taxonomy/Phylogenomics/phylo.sh	32	120G	not recorded	none requested	32	120 GB	14d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Taxonomy/Phylogenomics/phylo.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
GENEMARKS2	per final MAG	Metagenomics/Gene_prediction/GeneMarkS2/genemarks2.sh	4	20G	not recorded	none requested	4	20 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Gene_prediction/GeneMarkS2/genemarks2.sh #SBATCH; conf/resources.config	Historical job was an array; the current task is per MAG. Current time is a policy fallback.
EGGNOGMAPPER	per final MAG	Metagenomics/Functional_annotation/eggmapper.sh	5	30G	not recorded	none requested	5	30 GB	14d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Functional_annotation/eggmapper.sh #SBATCH; conf/resources.config	Historical job was an array; the current task is per MAG. Current time is a policy fallback.
INTERPROSCAN	per final MAG	none	not applicable	not applicable	not applicable	not applicable	16	128 GB	14d	no	conf/resources.config	No historical InterProScan script was present; policy fallback.
INTEGRATE_ANNOTATIONS	per final MAG	Metagenomics/Functional_annotation/MAG_eggnog/merged_annotations.sh	not recorded	not recorded	not recorded	not recorded	2	8 GB	4h	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Functional_annotation/MAG_eggnog/merged_annotations.sh (no usable #SBATCH); conf/resources.config	The historical helper has no valid SLURM resource header and is not used as resource evidence; current values are policy fallbacks.
COVERM_MAG_ABUNDANCE	global final abundance	Metagenomics/Features_MAGs/CoverM/coverm.sh	24	100G	not recorded	none requested	24	100 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Features_MAGs/CoverM/coverm.sh #SBATCH; conf/resources.config	Maps the final catalog against all biological-sample reads; current time is a policy fallback.
NORMALIZE_ABUNDANCE	global final abundance	none	not applicable	not applicable	not applicable	not applicable	2	8 GB	4h	no	conf/resources.config	Repository-local deterministic transformation; policy fallback.
MULTIQC	global reporting	none	not applicable	not applicable	not applicable	not applicable	2	8 GB	4h	no	conf/resources.config	No historical MultiQC SLURM script was present; policy fallback.
COLLECT_VERSIONS	global reporting	none	not applicable	not applicable	not applicable	not applicable	1	1 GB	30m	no	conf/resources.config	Repository-local deterministic table generation; policy fallback.
